ExperienceLevel,Title,Normalized_Skill
Experienced,Android Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Android Developer,"['unit testing', 'git', 'kotlin', 'room', 'jetpack', 'rest apis', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Android Solutions Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Android Solutions Engineer,"['unit testing', 'kotlin', 'room', 'jetpack', 'rest apis', 'clean architecture', 'ci/cd', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Android Tech Lead,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Backend Developer - Experienced,"['git', 'kubernetes', 'ci/cd', 'django', 'redis', 'azure', 'gcp', 'java', 'hipaa compliance', 'flask', 'aws', 'docker', 'python', 'graphql', 'grpc', 'cloud platforms', 'express.js', 'security', 'mysql', 'agile', 'postgresql', 'mongodb', 'spring boot', 'microservices', 'restful api', 'cloud', 'node.js', 'go']"
Experienced,Big Data Specialist,"['leadership', 'qlikview', 'azure', 'python advanced', 'gcp', 'java', 'aws big data services', 'mllib basics', 'tensorflow basics', 'scala', 'python', 'aws', 'snowflake', 'java advanced', 'kafka', 'tableau', 'collaboration', 'data governance', 'hadoop ecosystem', 'mllib', 'spark streaming', 'azure big data services', 'redshift', 'power bi', 'scala advanced', 'flink', 'gcp big data services', 'hadoop', 'bigquery', 'team leadership']"
Experienced,Blockchain Developer,"['rust basics', 'truffle advanced', 'leadership', 'hyperledger', 'cross-chain solutions', 'ethereum', 'cryptography expert', 'python advanced', 'mentoring', 'stakeholder collaboration', 'project management', 'smart contract security audits', 'gas optimization', 'cross-chain', 'innovation management', 'java advanced', 'ethereum multi-chain', 'mentorship', 'smart contract optimization', 'scalable dapps', 'team management', 'solidity advanced', 'collaboration', 'remix ide advanced', 'cryptography advanced', 'hyperledger advanced', 'smart contract optimization and security audits', 'git advanced', 'innovation', 'hyperledger fabric', 'team collaboration', 'innovation strategies', 'corda', 'cross-chain development', 'cross-chain interoperability', 'cryptography', 'problem-solving', 'cloud integration']"
Experienced,Business Analyst,"['ai-enhanced analytics', 'advanced data analysis', 'business intelligence', 'requirement management', 'agile methodology', 'agile project management', 'advanced sql', 'advanced analytics', 'strategic planning', 'data analysis', 'ai-powered analytics', 'business process optimization', 'tableau', 'sql', 'agile leadership', 'requirement gathering', 'ai-driven analytics', 'stakeholder engagement', 'stakeholder management', 'power bi', 'requirement elicitation', 'sas', 'excel']"
Experienced,Cloud Automation Engineer,"['terraform', 'aws', 'kubernetes', 'python', 'ansible', 'cloudformation']"
Experienced,Cloud Cost Optimization Architect,"['terraform', 'aws', 'python', 'cloud cost management', 'azure']"
Experienced,Cloud DevSecOps Architect,"['terraform', 'aws', 'security integration', 'python', 'ci/cd pipelines', 'ansible', 'azure']"
Experienced,Cloud Engineer,"['terraform', 'aws', 'kubernetes', 'ci/cd pipelines', 'python scripting', 'cloud security compliance', 'azure']"
Experienced,Cloud Infrastructure Architect,"['terraform', 'hybrid cloud', 'aws', 'python', 'sdn', 'cloud networking', 'azure']"
Experienced,Cloud Infrastructure Security Architect,"['terraform', 'cloud security', 'compliance', 'aws', 'kubernetes', 'encryption', 'azure', 'iam']"
Experienced,Cloud Migration Specialist,"['terraform', 'aws', 'python', 'database migration', 'azure', 'gcp', 'cloud migration']"
Experienced,Cloud Network Engineer,"['vpc', 'automation with ansible', 'aws networking', 'load balancers', 'azure networking']"
Experienced,Cloud Platform Architect,"['terraform', 'aws', 'kubernetes', 'python', 'ci/cd', 'azure', 'docker swarm']"
Experienced,Cloud Security Analyst,"['gcp security', 'firewall management', 'siem tools', 'azure security', 'incident response', 'aws security']"
Experienced,Cloud Security Architect,"['cloud security', 'compliance frameworks', 'aws', 'encryption', 'python scripting', 'azure', 'iam']"
Experienced,Content Writer,"['ai-assisted content optimization', 'analytics and kpi tracking', 'collaboration with cross-functional teams', 'collaboration with teams', 'digital marketing tools (ga, semrush, hubspot)', 'kpi tracking', 'brand voice consistency', 'collaboration and mentoring', 'fact-checking and research', 'ai-assisted content creation', 'digital marketing tools (google analytics, semrush)', 'content strategy development', 'project management', 'advanced seo skills', 'project management for content initiatives', 'editing and fact-checking', 'editing and proofreading', 'cms and ai writing tools', 'digital marketing tools (google analytics, semrush, hubspot)', 'seo and keyword research', 'advanced writing and editing', 'advanced seo', 'digital marketing tools proficiency', 'cross-functional collaboration', 'performance tracking', 'collaboration and team management', 'content strategy leadership', 'multi-format content creation', 'ai-assisted writing', 'content calendar management', 'advanced seo techniques', 'seo and keyword optimization', 'analytics and performance measurement', 'digital marketing tools', 'multi-format content creation (blogs, whitepapers, social media, scripts)', 'comprehensive content strategy', 'seo optimization and backlinking', 'digital marketing tools (ga4, semrush, hubspot)', 'content strategy', 'content marketing', 'collaboration with marketing and design teams', 'performance tracking and kpi analysis', 'advanced seo and keyword optimization', 'advanced seo and analytics', 'advanced content strategy']"
Experienced,Copywriter,"['time management', 'ai-assisted content optimization', 'leadership', 'kpi analysis', 'analytics and kpi tracking', 'brand voice consistency', 'ai-assisted content creation', 'collaboration and leadership', 'seo and analytics expertise', 'advanced copywriting', 'digital marketing strategy', 'ai-assisted content tools', 'digital marketing channels and tools', 'project management', 'brand messaging', 'strategic content planning', 'editing and proofreading', 'digital marketing integration', 'advanced seo', 'leadership and mentoring', 'seo optimization', 'ai content tools', 'performance tracking', 'advanced copywriting and editing', 'multi-format content creation', 'performance measurement', 'multi-format copywriting', 'brand messaging and consistency', 'ai-assisted writing', 'seo optimization and analytics', 'project and performance management', 'digital marketing tools', 'strategic copywriting', 'brand voice alignment', 'brand consistency', 'content strategy', 'ai-assisted writing tools', 'team leadership and collaboration', 'team leadership', 'advanced seo and analytics']"
Experienced,Cyber Defense Analyst,"['threat hunting', 'malware analysis', 'firewall management', 'soc operations', 'siem tools', 'compliance auditing']"
Experienced,Cybersecurity Analyst,"['threat hunting', 'qradar', 'splunk', 'bash', 'python', 'cloud security (aws/azure)', 'risk management', 'incident response']"
Experienced,Cybersecurity Risk Analyst,"['splunk', 'python', 'risk management', 'powershell', 'compliance auditing']"
Experienced,Data Engineer,"['spark', 'databricks', 'data partitioning', 'apache spark', 'data modeling', 'java', 'aws glue', 'airflow', 'scala', 'python', 'aws s3', 'snowflake', 'gcp bigquery', 'apache kafka', 'sql optimization', 'kafka', 'sql', 'data governance', 'mongodb', 'redshift', 'aws redshift', 'flink', 'aws emr', 'hadoop', 'azure synapse', 'bigquery', 'azure data lake']"
Experienced,DevOps Cloud Architect,"['terraform', 'aws', 'kubernetes', 'docker', 'python', 'ci/cd pipelines', 'azure devops']"
Experienced,DevOps Engineer - Experienced,"['terraform', 'gitlab ci', 'kubernetes', 'jenkins', 'chef', 'circleci', 'azure', 'gcp', 'devsecops', 'linux/unix', 'aws', 'helm', 'docker swarm', 'puppet', 'grafana', 'elk stack', 'microservices', 'ansible', 'prometheus', 'api automation']"
Experienced,Digital Marketing Specialist,"['advanced digital marketing campaigns', 'ux design integration', 'advanced analytics (google analytics, tableau, mixpanel)', 'brand management', 'advanced digital marketing strategy', 'budget management', 'content and social media campaigns', 'digital strategy development', 'content and social media marketing', 'marketing analytics (ga, tableau, mixpanel)', 'seo, sem, ppc optimization', 'crm and automation tools (hubspot, marketo, salesforce)', 'seo, sem, ppc campaigns', 'email marketing automation', 'ux and ui design integration', 'content marketing strategy', 'brand strategy', 'ai-driven marketing', 'seo and sem optimization', 'brand management and ux integration', 'digital campaign strategy', 'multi-channel campaign coordination', 'content marketing and social media strategy', 'team leadership', 'ai-driven personalization', 'ppc campaigns', 'crm tools (hubspot, salesforce, marketo)', 'multi-channel marketing strategy', 'team leadership and mentorship', 'seo/sem/ppc management', 'emerging marketing technologies', 'brand strategy and ux design', 'seo, sem, ppc', 'marketing analytics (google analytics, tableau, mixpanel)', 'strategic digital marketing planning', 'analytics and reporting (google analytics, tableau, mixpanel)', 'lead generation', 'advanced digital campaigns', 'data-driven decisions', 'brand and ux strategy', 'advanced seo and sem', 'crm and marketing automation tools', 'ai-driven personalization and marketing automation', 'budget optimization', 'lead generation and crm management', 'ai marketing tools', 'brand strategy and ux design integration', 'budget planning and roi optimization', 'content marketing', 'ai-driven marketing and personalization', 'marketing analytics and reporting', 'seo/sem/ppc campaign management', 'emerging marketing technologies (ai-driven personalization)', 'budget management and roi tracking', 'cross-channel campaign management', 'crm tools (hubspot, marketo, salesforce)', 'analytics and reporting', 'ppc campaign optimization', 'marketing analytics (tableau, mixpanel, ga)', 'analytics and reporting (ga, tableau, mixpanel)', 'team management', 'advanced digital marketing strategies', 'ai-powered marketing solutions', 'data-driven campaign optimization', 'ux integration', 'ai-driven marketing solutions', 'budget and roi optimization', 'content creation and social media marketing', 'cross-channel campaign coordination', 'ux/ui integration', 'data-driven decision making', 'multi-channel campaign management', 'data-driven marketing decisions', 'team leadership and mentoring', 'social media campaigns', 'lead generation and nurturing', 'digital marketing strategy', 'ppc campaigns management', 'crm tools (hubspot, salesforce)', 'conversion rate optimization', 'data-driven optimization', 'budget planning', 'marketing automation tools (hubspot, marketo, salesforce)', 'email automation', 'multi-channel campaign integration', 'data-driven marketing', 'email automation and personalization', 'ai-driven marketing strategies', 'budget and roi management', 'seo/sem/ppc optimization', 'brand strategy and ux integration', 'lead generation and crm integration', 'analytics (ga, tableau, mixpanel)', 'ai-powered marketing tools', 'lead generation and crm tools', 'budget management and roi optimization', 'email automation tools (hubspot, marketo)', 'data-driven strategy implementation', 'social media marketing', 'data-driven campaign strategies']"
Experienced,Enterprise Cloud Architect,"['terraform', 'cloud strategy', 'multi-cloud architecture', 'leadership', 'kubernetes', 'serverless computing']"
Experienced,Enterprise Network Engineer,"['eigrp', 'mpls', 'cisco asa', 'f5 load balancer', 'qos']"
Experienced,Ethical Hacker,"['web security testing', 'leadership', 'network and web security', 'communication', 'linux (kali, parrot) expert', 'penetration testing', 'malware analysis and reverse engineering', 'compliance awareness', 'analytical thinking', 'cryptography and ssl/tls', 'advanced python, c/c++, javascript', 'python, c/c++, javascript advanced', 'expert network and web security', 'network and application security', 'metasploit, burp suite, nmap, sqlmap', 'advanced networking', 'linux expert', 'security frameworks (nist, iso)', 'web application security', 'web app security', 'advanced python, c/c++', 'windows security and ad', 'cryptography, ssl/tls', 'project management', 'expert network security', 'web app security testing', 'vulnerability assessment', 'network penetration testing', 'risk assessment', 'windows security and active directory', 'network and application security expert', 'network security expert', 'compliance and risk assessment', 'metasploit, burp suite, nmap, sqlmap, wireshark', 'metasploit, nmap, burp suite, sqlmap, wireshark', 'penetration testing and vulnerability assessment', 'linux/windows os expert', 'metasploit, nmap, burp suite, sqlmap', 'metasploit, burp suite, nmap, wireshark', 'linux and windows os expert', 'bash, powershell', 'windows security expert', 'compliance (nist, iso)', 'linux and windows expert', 'python, c/c++, javascript', 'linux (kali/parrot) advanced', 'linux and windows security', 'web application and network security', 'linux/windows expert', 'compliance frameworks', 'malware analysis', 'reverse engineering', 'linux and windows security expert', 'network and web security expert', 'analytical skills', 'cryptography', 'advanced network security', 'bash, powershell scripting', 'problem-solving', 'metasploit, burp suite, nmap, wireshark, sqlmap']"
Experienced,Fintech Engineer,"['leadership', 'sql advanced', 'financial data analysis', 'machine learning predictive modeling', 'financial analysis and modeling', 'blockchain and dlt', 'api design and microservices', 'devops in fintech', 'api architecture', 'smart contract development', 'devops automation', 'cloud computing (aws, azure)', 'cybersecurity expertise', 'predictive modeling and automation', 'smart contracts implementation', 'python advanced', 'cybersecurity', 'blockchain & smart contracts', 'stakeholder collaboration', 'financial analysis', 'project management', 'strategic planning', 'blockchain and smart contracts', 'blockchain development', 'aws & azure cloud', 'machine learning and ai analytics', 'innovation management', 'blockchain implementation', 'api design', 'api architecture and microservices', 'financial modeling', 'financial modeling and analysis', 'quantitative modeling', 'devops', 'api & microservices design', 'cross-functional collaboration', 'cloud platforms aws/azure', 'team management', 'collaboration', 'cloud computing aws/azure', 'microservices design', 'api and microservices architecture', 'devops practices', 'ml analytics', 'cloud platforms (aws, azure)', 'smart contracts development', 'machine learning for analytics', 'cross-functional team collaboration', 'financial modeling and forecasting', 'javascript advanced', 'stakeholder management', 'cybersecurity compliance', 'machine learning predictive analytics', 'project leadership', 'innovation', 'smart contracts', 'cybersecurity and compliance', 'innovation strategies', 'microservices architecture', 'team leadership', 'api & microservices architecture']"
Experienced,Full Stack Developer - Experienced,"['git', 'kubernetes', 'html', 'typescript', 'ci/cd', 'django', 'html5', 'react', 'vue.js', 'flask', 'javascript (es6+)', 'docker', 'angular', 'cloud platforms', 'serverless', 'redux', 'restful api design', 'mysql', 'agile', 'postgresql', 'sql', 'restful apis', 'css3', 'mongodb', 'nosql', 'microservices', 'javascript', 'node.js', 'web security', 'css']"
Experienced,Game Developer,"['leadership', 'advanced ai and gameplay systems', 'unreal engine expert', 'gameplay systems and ai', 'physics simulation', 'python advanced', 'performance profiling', 'c# expert', 'multiplayer networking', 'project management', 'ai and gameplay systems', 'performance optimization', 'shader programming', 'cross-platform deployment', 'gameplay systems development', 'ai programming', 'java advanced', 'advanced ai/gameplay systems', 'advanced gameplay and ai systems', 'advanced gameplay and ai', 'c++ advanced', 'ai/gameplay systems', 'physics and collision handling', 'cross-platform development', 'physics and collision systems', 'advanced ai and gameplay', 'physics', 'advanced gameplay systems', 'c++ expert', 'unity expert', 'godot basics', 'testing/debugging', 'debugging and profiling', 'graphics optimization', 'team collaboration', 'c# advanced', 'shader programming hlsl/glsl', 'testing and debugging', 'graphics and performance optimization', 'gameplay systems', 'testing frameworks']"
Experienced,Graphic Designer,"['ar/vr design', 'indesign', '3d design basics', 'advanced photoshop', 'advanced adobe photoshop', 'typography', 'motion graphics', 'illustrator', 'adobe xd', '3d design', 'color theory', 'after effects', 'figma']"
Experienced,Hybrid Cloud Architect,"['terraform', 'aws', 'hybrid cloud design', 'python', 'networking', 'azure']"
Experienced,Information Security Specialist,"['threat intelligence', 'vulnerability management', 'qradar', 'splunk', 'python', 'incident response']"
Experienced,Infrastructure Network Engineer,"['lan/wan design', 'python automation', 'qos', 'nagios', 'cisco prime']"
Experienced,IoT Engineer,"['leadership', 'real-time data analytics', 'network security', 'c advanced', 'ci/cd', 'python advanced', 'cross-team collaboration', 'data pipelines and analytics', 'sensor and actuator integration', 'edge computing', 'project management', 'c, c++ expert', 'sensor integration and actuator management', 'machine learning integration', 'ci/cd automation', 'strategic planning', 'embedded firmware development', 'embedded firmware design', 'iot architecture and design', 'advanced c, c++', 'embedded firmware', 'embedded firmware optimization', 'embedded firmware and hardware interfacing', 'java advanced', 'project strategy', 'c++ advanced', 'project execution', 'cross-functional collaboration', 'team management', 'cloud platforms (aws, azure, gcp)', 'ci/cd pipelines', 'cloud platforms aws/azure/gcp', 'tcp/ip, ipv6', 'network optimization', 'iot architecture design', 'sensor fusion and actuator control', 'real-time analytics', 'gcp iot advanced', 'iot architecture', 'real-time analytics and ml', 'mqtt, coap, lorawan, nb-iot', 'sensor fusion and actuator integration', 'iot system architecture', 'advanced sensor integration', 'iot architecture and deployment', 'team collaboration', 'data analytics', 'real-time analytics and ml integration', 'python, java', 'c, c++ advanced', 'advanced c programming', 'network security and optimization', 'azure iot advanced', 'machine learning', 'aws iot advanced', 'aws, azure, gcp iot']"
Experienced,Java Developer,"['leadership', 'kubernetes', 'jenkins', 'ci/cd', 'advanced sql', 'jvm internals', 'mentoring', 'rest apis', 'junit', 'mockito', 'angular/react', 'hibernate', 'performance optimization', 'docker', 'version control (git/svn)', 'performance tuning', 'database tuning', 'agile', 'kafka', 'advanced java', 'sql', 'system design', 'restful apis', 'soap apis', 'mongodb', 'gradle', 'cassandra', 'spring boot', 'selenium', 'microservices', 'nosql', 'jpa', 'team collaboration', 'debugging', 'concurrency', 'maven']"
Experienced,JavaScript Developer,"['leadership', 'typescript', 'testing frameworks: jest, mocha, cypress', 'ci/cd', 'ci/cd basics', 'cross-team collaboration', 'rest apis', 'react', 'vue.js', 'project management', 'performance optimization', 'docker', 'docker, ci/cd', 'angular', 'graphql', 'webpack, babel, npm, yarn', 'express.js', 'performance tuning', 'rest api, graphql', 'docker basics', 'npm, yarn', 'rest api/graphql', 'jest, cypress, mocha', 'webpack, babel', 'jest, cypress', 'testing frameworks (jest, mocha, cypress)', 'redux, vuex', 'team management', 'rest apis, graphql', 'ci/cd pipelines', 'testing frameworks (jest, cypress, mocha)', 'web performance optimization', 'redux/vuex', 'jest, mocha, cypress', 'javascript advanced', 'advanced javascript', 'team collaboration', 'advanced performance optimization', 'react, angular, vue.js', 'node.js', 'javascript expert', 'rest api development']"
Experienced,Lead Android Engineer,"['kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Lead Cloud Solutions Architect,"['terraform', 'stakeholder management', 'serverless architecture', 'python', 'multi-cloud strategy', 'microservices design', 'cloud cost optimization']"
Experienced,Lead Cybersecurity Analyst,"['threat hunting', 'compliance', 'cloud security', 'splunk', 'risk management', 'team leadership']"
Experienced,Lead Network Engineer,"['mpls', 'palo alto firewalls', 'team leadership', 'f5 load balancer', 'cisco nexus']"
Experienced,Lead System Engineer,"['cloud strategy', 'leadership', 'linux', 'windows server', 'enterprise architecture']"
Experienced,Lead UX Designer,"['design thinking', 'invision', 'axure', 'wcag standards', 'information architecture', 'prototyping', 'figma']"
Experienced,Lead iOS Engineer,"['core text', 'coregraphics', 'swift', 'ci/cd', 'jira', 'agile', 'objective-c']"
Experienced,Market Research Analyst,"['predictive modeling', 'advanced data analysis', 'python', 'r', 'tableau', 'power bi', 'business strategy', 'forecasting', 'sql', 'market segmentation', 'sas', 'competitive intelligence', 'advanced analytics', 'advanced statistical analysis']"
Experienced,Marketing Specialist,"['multi-channel campaigns', 'lead generation and multi-channel campaigns', 'brand management', 'budget planning and optimization', 'budget management', 'digital strategy development', 'lead generation campaigns', 'multi-channel campaign planning', 'content and social media marketing', 'digital campaigns management', 'marketing automation', 'email marketing automation', 'campaign coordination', 'email marketing', 'team leadership and collaboration', 'team leadership', 'content creation and strategy', 'strategic marketing planning', 'ai-driven personalization', 'ppc campaigns', 'data analytics and reporting', 'emerging marketing technologies (ai tools, personalization)', 'seo/sem/ppc management', 'emerging marketing technologies', 'budget allocation', 'seo, sem, ppc', 'lead nurturing', 'lead generation', 'analytics (google analytics, tableau)', 'advanced seo/sem', 'social media strategy', 'content marketing and creation', 'marketing strategy and planning', 'budget optimization', 'team collaboration', 'content marketing', 'analytics (ga, tableau)', 'marketing analytics and reporting', 'data analysis (google analytics, tableau)', 'ai-powered marketing personalization', 'seo/sem and ppc campaigns', 'email marketing and automation', 'analytics and reporting', 'leadership and team management', 'advanced digital marketing', 'marketing strategy', 'email campaigns', 'analytics and roi reporting', 'campaign optimization', 'seo/sem', 'advanced digital marketing strategies', 'social media management', 'analytics and roi optimization', 'marketing analytics', 'data-driven decision making', 'multi-channel campaign management', 'seo/sem/ppc', 'multi-channel marketing campaigns', 'digital marketing strategy', 'seo/sem/ppc campaigns', 'ppc campaigns management', 'advanced marketing strategy', 'content creation and social media strategy', 'seo, sem, ppc expertise', 'digital marketing campaigns', 'seo/sem optimization', 'email automation', 'data-driven analytics', 'ai-driven marketing tools', 'team coordination', 'emerging technologies in marketing', 'budget and roi management', 'seo/sem/ppc optimization', 'campaign management', 'content creation', 'budget and roi analysis', 'ai-powered marketing tools', 'advanced seo/sem/ppc', 'ppc management', 'social media marketing']"
Experienced,Multi-Cloud Architect,"['terraform', 'leadership', 'aws', 'kubernetes', 'microservices architecture', 'azure', 'gcp']"
Experienced,Network Automation Engineer,"['bash', 'python', 'automation', 'ansible', 'cisco ios']"
Experienced,Network Engineer,"['solarwinds', 'mpls', 'ospf', 'bgp', 'qos', 'cisco nexus']"
Experienced,Network Security Engineer,"['firewalls', 'cisco asa', 'ids/ips', 'cryptography', 'vpn']"
Experienced,Operations Manager,"['six sigma', 'resource allocation', 'budgeting', 'kpi tracking', 'strategic planning', 'resource optimization', 'data analysis', 'erp/crm systems', 'kpi monitoring', 'lean management', 'staff development', 'erp/crm tools', 'financial reporting', 'process automation', 'team leadership', 'process improvement', 'process optimization', 'budget management']"
Experienced,Principal Android Developer,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Principal Android Engineer,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Principal Network Engineer,"['project management', 'architecture design', 'palo alto', 'team leadership', 'cisco nexus']"
Experienced,Principal Security Analyst,"['cloud security', 'leadership', 'compliance', 'advanced threat detection', 'risk management', 'siem tools']"
Experienced,Principal UX Designer,"['invision', 'leadership', 'a/b testing', 'user research', 'interaction design', 'sketch', 'figma']"
Experienced,Principal iOS Developer,"['swift', 'ci/cd', 'core animation', 'app performance optimization', 'objective-c', 'mvvm']"
Experienced,Product Designer,"['leadership', 'a/b testing', 'html', 'adobe illustrator', 'figma', 'design thinking', 'design systems', 'user testing', 'agile', 'prototyping', 'sketch', 'accessibility', 'usability testing', 'marvel', 'agile methods', 'data-driven ux', 'front-end collaboration', 'invision', 'stakeholder management', 'data analytics', 'javascript', 'adobe creative suite', 'adobe xd', 'css']"
Experienced,Product Manager,"['advanced data analysis', 'product vision and strategic planning', 'a/b testing', 'data analysis and experimentation', 'stakeholder communication', 'cross-functional leadership', 'metrics-driven product growth', 'product vision and roadmap development', 'agile methodologies', 'tools: jira, figma, mixpanel, tableau', 'performance optimization', 'product vision', 'strategic planning', 'tools: jira, confluence, tableau, mixpanel', 'user research integration', 'product vision and roadmap planning', 'ux research and integration', 'backlog grooming', 'roadmap development', 'ux research integration', 'roadmap execution', 'resource allocation', 'cross-functional collaboration', 'resource prioritization', 'performance tracking', 'tools: jira, confluence, figma, mixpanel, tableau', 'metrics-driven growth optimization', 'tools: jira, confluence, tableau, figma', 'user experience research', 'agile facilitation', 'agile leadership', 'advanced analytics and a/b testing', 'tools: figma, mixpanel, tableau, ga', 'stakeholder engagement', 'stakeholder management', 'tools: jira, confluence, mixpanel, ga, tableau', 'product vision and strategy', 'user research and ux integration', 'cross-functional team leadership', 'roadmap development and execution', 'data analysis and a/b testing', 'sprint planning', 'data-driven decision making', 'metrics-driven growth']"
